time_attendance_id,employee_id,attendance_date,clock_in,clock_in_ip_address,clock_in_out,clock_out,clock_out_ip_address,clock_in_latitude,clock_in_longitude,clock_out_latitude,clock_out_longitude,status
1,1,2018-10-01,2018-10-01 9:20:00,199:200:54:542,14,2018-10-01 5:35:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
2,2,2018-10-01,2018-10-01 9:17:00,199:200:54:542,12,2018-10-01 5:31:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
3,3,2018-10-01,2018-10-01 9:15:00,199:200:54:542,9,2018-10-01 5:34:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
4,4,2018-10-01,2018-10-01 9:21:00,199:200:54:542,4,2018-10-01 5:37:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
5,5,2018-10-01,2018-10-01 9:16:00,199:200:54:542,8,2018-10-01 5:32:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
6,6,2018-10-01,2018-10-01 9:18:00,199:200:54:542,7,2018-10-01 5:37:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
7,7,2018-10-01,2018-10-01 9:20:00,199:200:54:542,5,2018-10-01 5:35:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
8,8,2018-10-01,,,,,,,,,,Absent
9,9,2018-10-01,2018-10-01 9:22:00,199:200:54:542,8,2018-10-01 5:34:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
10,10,2018-10-01,2018-10-01 9:20:00,199:200:54:542,10,2018-10-01 5:32:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
11,11,2018-10-01,2018-10-01 9:16:00,199:200:54:542,12,2018-10-01 5:36:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
12,12,2018-10-01,2018-10-01 9:15:00,199:200:54:542,8,2018-10-01 5:31:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
13,13,2018-10-01,2018-10-01 9:16:00,199:200:54:542,8,2018-10-01 5:36:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
14,14,2018-10-01,2018-10-01 9:22:00,199:200:54:542,8,2018-10-01 5:38:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
15,15,2018-10-01,2018-10-01 9:21:00,199:200:54:542,4,2018-10-01 5:39:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
16,16,2018-10-01,2018-10-01 9:18:00,199:200:54:542,4,2018-10-01 5:31:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
17,17,2018-10-01,2018-10-01 9:19:00,199:200:54:542,7,2018-10-01 5:36:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
18,18,2018-10-01,2018-10-01 9:20:00,199:200:54:542,10,2018-10-01 5:36:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
19,19,2018-10-01,2018-10-01 9:15:00,199:200:54:542,9,2018-10-01 5:32:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
20,20,2018-10-01,2018-10-01 9:23:00,199:200:54:542,13,2018-10-01 5:35:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
21,21,2018-10-01,2018-10-01 9:16:00,199:200:54:542,5,2018-10-01 5:31:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
22,22,2018-10-01,2018-10-01 9:18:00,199:200:54:542,11,2018-10-01 5:37:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
23,23,2018-10-01,2018-10-01 9:19:00,199:200:54:542,8,2018-10-01 5:31:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
24,24,2018-10-01,2018-10-01 9:21:00,199:200:54:542,9,2018-10-01 5:37:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
25,25,2018-10-01,2018-10-01 9:19:00,199:200:54:542,8,2018-10-01 5:38:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
26,26,2018-10-01,2018-10-01 9:15:00,199:200:54:542,11,2018-10-01 5:34:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
27,27,2018-10-01,2018-10-01 9:18:00,199:200:54:542,9,2018-10-01 5:31:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
28,28,2018-10-01,2018-10-01 9:24:00,199:200:54:542,8,2018-10-01 5:37:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
29,29,2018-10-01,2018-10-01 9:18:00,199:200:54:542,6,2018-10-01 5:35:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
30,30,2018-10-01,2018-10-01 9:18:00,199:200:54:542,14,2018-10-01 5:39:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
31,31,2018-10-01,2018-10-01 9:15:00,199:200:54:542,10,2018-10-01 5:34:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
32,32,2018-10-01,2018-10-01 9:23:00,199:200:54:542,11,2018-10-01 5:30:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
33,33,2018-10-01,2018-10-01 9:16:00,199:200:54:542,4,2018-10-01 5:36:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
34,34,2018-10-01,2018-10-01 9:15:00,199:200:54:542,14,2018-10-01 5:39:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
35,35,2018-10-01,2018-10-01 9:20:00,199:200:54:542,7,2018-10-01 5:33:00,199:200:54:542,17.686815,83.218483,17.686815,83.218483,Present
